goal,target
What is 5×2?,10
What is 750×31?,23250
What is 846×41?,34686
What is 8×7?,56
What is 91×5?,455
What is 432×17?,7344
What is 1×6?,6
What is 44×3?,132
What is 6×4?,24
What is 611×60?,36660
What is 569×28?,15932
What is 27×5?,135
What is 674×78?,52572
What is 84×8?,672
What is 508×56?,28448
What is 3×9?,27
What is 21×2?,42
What is 3×3?,9
What is 532×86?,45752
What is 7×7?,49
What is 579×77?,44583
What is 80×2?,160
What is 838×24?,20112
What is 649×44?,28556
What is 448×24?,10752
What is 65×4?,260
What is 10×6?,60
What is 880×32?,28160
What is 208×90?,18720
What is 91×5?,455
What is 6×3?,18
What is 897×77?,69069
What is 6×8?,48
What is 2×6?,12
What is 40×2?,80
What is 2×2?,4
What is 597×18?,10746
What is 884×26?,22984
What is 8×9?,72
What is 5×9?,45
What is 533×37?,19721
What is 873×98?,85554
What is 5×7?,35
What is 765×57?,43605
What is 76×9?,684
What is 4×4?,16
What is 6×1?,6
What is 667×39?,26013
What is 325×10?,3250
What is 1×4?,4
What is 1×6?,6
What is 9×4?,36
What is 95×9?,855
What is 9×3?,27
What is 684×83?,56772
What is 41×9?,369
What is 34×3?,102
What is 7×6?,42
What is 62×9?,558
What is 155×96?,14880
What is 761×22?,16742
What is 7×6?,42
What is 4×4?,16
What is 9×8?,72
What is 7×3?,21
What is 69×5?,345
What is 8×9?,72
What is 1×9?,9
What is 2×4?,8
What is 7×8?,56
What is 37×8?,296
What is 3×7?,21
What is 7×5?,35
What is 46×8?,368
What is 848×81?,68688
